PlaceholderRowExec	03_basic_preview	00	3	2	plain	corpus/traces/03_basic_preview_00_PlaceholderRowExec.snap
ProjectionExec	03_basic_preview	01	5	12	plain	corpus/traces/03_basic_preview_01_ProjectionExec.snap
PlaceholderRowExec	04_basic_compact_preview	00	3	2	plain	corpus/traces/04_basic_compact_preview_00_PlaceholderRowExec.snap
ProjectionExec	04_basic_compact_preview	01	5	12	compact	corpus/traces/04_basic_compact_preview_01_ProjectionExec.snap
PlaceholderRowExec	05_basic_all_options	00	3	2	plain	corpus/traces/05_basic_all_options_00_PlaceholderRowExec.snap
ProjectionExec	05_basic_all_options	01	5	12	compact	corpus/traces/05_basic_all_options_01_ProjectionExec.snap
DataSourceExec	06_object_store_all_options	00	23	64	compact	corpus/traces/06_object_store_all_options_00_DataSourceExec.snap
SortExec	06_object_store_all_options	01	23	64	compact	corpus/traces/06_object_store_all_options_01_SortExec.snap
DataSourceExec	07_scrabble_all_options	00	13	21	compact	corpus/traces/07_scrabble_all_options_00_DataSourceExec.snap
ProjectionExec	07_scrabble_all_options	01	13	48	compact	corpus/traces/07_scrabble_all_options_01_ProjectionExec.snap
DataSourceExec	07_scrabble_all_options	02	13	29	compact	corpus/traces/07_scrabble_all_options_02_DataSourceExec.snap
DataSourceExec	07_scrabble_all_options	03	13	41	compact	corpus/traces/07_scrabble_all_options_03_DataSourceExec.snap
HashJoinExec	07_scrabble_all_options	04	15	64	compact	corpus/traces/07_scrabble_all_options_04_HashJoinExec.snap
RepartitionExec	07_scrabble_all_options	05	15	64	compact	corpus/traces/07_scrabble_all_options_05_RepartitionExec.snap
ProjectionExec	07_scrabble_all_options	06	16	64	compact	corpus/traces/07_scrabble_all_options_06_ProjectionExec.snap
UnnestExec	07_scrabble_all_options	07	15	64	compact	corpus/traces/07_scrabble_all_options_07_UnnestExec.snap
ProjectionExec	07_scrabble_all_options	08	13	52	compact	corpus/traces/07_scrabble_all_options_08_ProjectionExec.snap
HashJoinExec	07_scrabble_all_options	09	13	52	compact	corpus/traces/07_scrabble_all_options_09_HashJoinExec.snap
AggregateExec	07_scrabble_all_options	10	13	64	compact	corpus/traces/07_scrabble_all_options_10_AggregateExec.snap
RepartitionExec	07_scrabble_all_options	11	13	64	compact	corpus/traces/07_scrabble_all_options_11_RepartitionExec.snap
WorkTableExec	09_recursive_all_options	00	5	5	compact	corpus/traces/09_recursive_all_options_00_WorkTableExec.snap
WorkTableExec	09_recursive_all_options	01	5	5	compact	corpus/traces/09_recursive_all_options_01_WorkTableExec.snap
WorkTableExec	09_recursive_all_options	02	5	5	compact	corpus/traces/09_recursive_all_options_02_WorkTableExec.snap
RepartitionExec	09_recursive_all_options	03	5	5	compact	corpus/traces/09_recursive_all_options_03_RepartitionExec.snap
RepartitionExec	09_recursive_all_options	04	5	5	compact	corpus/traces/09_recursive_all_options_04_RepartitionExec.snap
RepartitionExec	09_recursive_all_options	05	5	5	compact	corpus/traces/09_recursive_all_options_05_RepartitionExec.snap
FilterExec	09_recursive_all_options	06	5	5	compact	corpus/traces/09_recursive_all_options_06_FilterExec.snap
FilterExec	09_recursive_all_options	07	5	5	compact	corpus/traces/09_recursive_all_options_07_FilterExec.snap
ProjectionExec	09_recursive_all_options	08	5	5	compact	corpus/traces/09_recursive_all_options_08_ProjectionExec.snap
ProjectionExec	09_recursive_all_options	09	5	5	compact	corpus/traces/09_recursive_all_options_09_ProjectionExec.snap
PlaceholderRowExec	09_recursive_all_options	10	3	2	plain	corpus/traces/09_recursive_all_options_10_PlaceholderRowExec.snap
CoalescePartitionsExec	09_recursive_all_options	11	5	5	compact	corpus/traces/09_recursive_all_options_11_CoalescePartitionsExec.snap
CoalescePartitionsExec	09_recursive_all_options	12	5	5	compact	corpus/traces/09_recursive_all_options_12_CoalescePartitionsExec.snap
ProjectionExec	09_recursive_all_options	13	5	5	compact	corpus/traces/09_recursive_all_options_13_ProjectionExec.snap
RecursiveQueryExec	09_recursive_all_options	14	9	5	compact	corpus/traces/09_recursive_all_options_14_RecursiveQueryExec.snap
