buoyant_kernel::AsAny	any_ref	-	fn any_ref(&self) -> &dyn Any + Send + Sync	Obtains a `dyn Any` reference to the object:
buoyant_kernel::AsAny	as_any	-	fn as_any(Arc<self>) -> Arc<dyn Any + Send + Sync>	Obtains an `Arc<dyn Any>` reference to the object:
buoyant_kernel::AsAny	into_any	-	fn into_any(Box<self>) -> Box<dyn Any + Send + Sync>	Converts the object to `Box<dyn Any>`:
buoyant_kernel::AsAny	type_name	-	fn type_name(&self) -> &'static str	Convenient wrapper for [`std::any::type_name`], since [`Any`] does not provide it and [`Any::type_id`] is useless as a debugging aid (its `Debug` is just a mess of hex digits).
buoyant_kernel::DynPartialEq	dyn_eq	-	fn dyn_eq(&self, other: &dyn Any) -> bool	
buoyant_kernel::Engine	evaluation_handler	-	fn evaluation_handler(&self) -> Arc<dyn EvaluationHandler>	Get the connector provided [`EvaluationHandler`].
buoyant_kernel::Engine	json_handler	-	fn json_handler(&self) -> Arc<dyn JsonHandler>	Get the connector provided [`JsonHandler`].
buoyant_kernel::Engine	parquet_handler	-	fn parquet_handler(&self) -> Arc<dyn ParquetHandler>	Get the connector provided [`ParquetHandler`].
buoyant_kernel::Engine	storage_handler	-	fn storage_handler(&self) -> Arc<dyn StorageHandler>	Get the connector provided [`StorageHandler`]
buoyant_kernel::EvaluationHandler	create_many	-	fn create_many(&self, schema: SchemaRef, rows: &[&[Scalar]]) -> DeltaResult<Box<dyn EngineData>>	Create a multi-row [`EngineData`] by applying the given schema to multiple rows of values.
buoyant_kernel::EvaluationHandler	new_expression_evaluator	-	fn new_expression_evaluator(&self, input_schema: SchemaRef, expression: ExpressionRef, output_type: DataType) -> DeltaResult<Arc<dyn ExpressionEvaluator>>	Create an [`ExpressionEvaluator`] that can evaluate the given [`Expression`] on columnar batches with the given [`Schema`] to produce data of [`DataType`].
buoyant_kernel::EvaluationHandler	new_predicate_evaluator	-	fn new_predicate_evaluator(&self, input_schema: SchemaRef, predicate: PredicateRef) -> DeltaResult<Arc<dyn PredicateEvaluator>>	Create a [`PredicateEvaluator`] that can evaluate the given [`Predicate`] on columnar batches with the given [`Schema`] to produce a column of boolean results.
buoyant_kernel::EvaluationHandler	null_row	-	fn null_row(&self, output_schema: SchemaRef) -> DeltaResult<Box<dyn EngineData>>	Create a single-row all-null-value [`EngineData`] with the schema specified by `output_schema`.
buoyant_kernel::EvaluationHandlerExtension	create_one	-	fn create_one(&self, schema: SchemaRef, values: &[Scalar]) -> DeltaResult<Box<dyn EngineData>>	Create a single-row [`EngineData`] by applying the given schema to the leaf-values given in `values`.
buoyant_kernel::ExpressionEvaluator	evaluate	-	fn evaluate(&self, batch: &dyn EngineData) -> DeltaResult<Box<dyn EngineData>>	Evaluate the expression on a given EngineData.
buoyant_kernel::FileMeta	as_url	buoyant_kernel::path::AsUrl	fn as_url(&self) -> &Url	
buoyant_kernel::FileMeta	new	-	fn new(location: Url, last_modified: i64, size: u64) -> Self	Create a new instance of `FileMeta`
buoyant_kernel::FileMeta	try_from	core::convert::TryFrom	fn try_from(ent: DirEntry) -> DeltaResult<FileMeta>	
buoyant_kernel::IntoEngineData	into_engine_data	-	fn into_engine_data(self, schema: SchemaRef, engine: &dyn Engine) -> DeltaResult<Box<dyn EngineData>>	Consume this type to produce a single-row EngineData using the provided schema.
buoyant_kernel::JsonHandler	parse_json	-	fn parse_json(&self, json_strings: Box<dyn EngineData>, output_schema: SchemaRef) -> DeltaResult<Box<dyn EngineData>>	Parse the given json strings and return the fields requested by output schema as columns in [`EngineData`]. json_strings MUST be a single column batch of engine data, and the column type must be string
buoyant_kernel::JsonHandler	read_json_files	-	fn read_json_files(&self, files: &[FileMeta], physical_schema: SchemaRef, predicate: Option<PredicateRef>) -> DeltaResult<FileDataReadResultIterator>	Read and parse the JSON format file at given locations and return the data as EngineData with the columns requested by physical schema. Note: The [`FileDataReadResultIterator`] must emit data from files in the order that `files` is given.…
buoyant_kernel::JsonHandler	write_json_file	-	fn write_json_file(&self, path: &Url, data: DeltaResultIterator<'_, FilteredEngineData>, overwrite: bool) -> DeltaResult<()>	Atomically (!) write a single JSON file. Each selected row of the input data must be written as a new JSON object appended to the file; rows not selected by a batch's selection vector (see [`FilteredEngineData`]) must not be written. [`Fil…
buoyant_kernel::ParquetHandler	read_parquet_files	-	fn read_parquet_files(&self, files: &[FileMeta], physical_schema: SchemaRef, predicate: Option<PredicateRef>) -> DeltaResult<FileDataReadResultIterator>	Read and parse the Parquet file at given locations and return the data as EngineData with the columns requested by physical schema. The ParquetHandler _must_ return exactly the columns specified in `physical_schema`, and they _must_ be in…
buoyant_kernel::ParquetHandler	read_parquet_footer	-	fn read_parquet_footer(&self, file: &FileMeta) -> DeltaResult<ParquetFooter>	Read the footer metadata from a Parquet file without reading the data.
buoyant_kernel::ParquetHandler	write_parquet_file	-	fn write_parquet_file(&self, location: url::Url, data: DeltaResultIteratorStatic<Box<dyn EngineData>>) -> DeltaResult<()>	Write data to a Parquet file at the specified URL.
buoyant_kernel::PredicateEvaluator	evaluate	-	fn evaluate(&self, batch: &dyn EngineData) -> DeltaResult<Box<dyn EngineData>>	Evaluate the predicate on a given EngineData.
buoyant_kernel::StorageHandler	copy_atomic	-	fn copy_atomic(&self, src: &Url, dest: &Url) -> DeltaResult<()>	Copy a file atomically from source to destination. If the destination file already exists, it must return Err(Error::FileAlreadyExists).
buoyant_kernel::StorageHandler	delete	-	fn delete(&self, path: &Url) -> DeltaResult<()>	Delete the file at the given path.
buoyant_kernel::StorageHandler	head	-	fn head(&self, path: &Url) -> DeltaResult<FileMeta>	Perform a HEAD request for the given file at a Url, returning the file metadata.
buoyant_kernel::StorageHandler	list_from	-	fn list_from(&self, path: &Url) -> DeltaResult<Box<dyn Iterator<Item = DeltaResult<FileMeta>>>>	Recursively list files whose full path is lexicographically greater than (UTF-8 sorting) the given `path`, restricted to descendants of `path`'s parent directory. The result must be sorted by the full path (UTF-8 byte order).
